IMAGE_NAME,TYPE_OF_OBJECTS,OBJECT_NAME,BACKGROUND,DEVICE_NAME,DATA_TYPE
IMG_20240219_113620.jpg,6,FilmCapacitor_2 GasSensor_1 LDRSensor_1 MLCCapacitor_4 MotorDriver_1 SonarSensor_2,Wooden,REDMI,Train
IMG_20240219_113626.jpg,6,FilmCapacitor_2 GasSensor_1 LDRSensor_1 MLCCapacitor_2 MotorDriver_1 SonarSensor_2,Wooden,REDMI,Train
IMG_20240219_113639.jpg,6,FilmCapacitor_2 GasSensor_1 LDRSensor_1 MLCCapacitor_4 MotorDriver_1 SonarSensor_2,Wooden,REDMI,Train
IMG_20240219_113719.jpg,6,FilmCapacitor_2 GasSensor_1 LDRSensor_1 MLCCapacitor_4 MotorDriver_1 SonarSensor_2,Wooden,REDMI,Train
IMG_20240219_113739.jpg,3,FilmCapacitor_2 GasSensor_1 LDRSensor_1,Wooden,REDMI,Train
IMG_20240219_113819.jpg,4,LDRSensor_3 MLCCapacitor_1 MotorDriver_1 SonarSensor_2,Wooden,REDMI,Valid
IMG_20240219_113917.jpg,5,FilmCapacitor_2 GasSensor_2 LDRSensor_3 MLCCapacitor_5 SonarSensor_1,Wooden,REDMI,Train
IMG_20240219_113936.jpg,5,FilmCapacitor_2 GasSensor_2 LDRSensor_3 MLCCapacitor_3 SonarSensor_1,Wooden,REDMI,Valid
IMG_20240219_114012.jpg,6,FilmCapacitor_1 GasSensor_2 LDRSensor_3 MLCCapacitor_5 MotorDriver_1 SonarSensor_2,Wooden,REDMI,Train
IMG_20240219_114018.jpg,6,FilmCapacitor_1 GasSensor_2 LDRSensor_3 MLCCapacitor_5 MotorDriver_1 SonarSensor_1,Wooden,REDMI,Test
IMG_20240219_114133.jpg,4,FilmCapacitor_1 GasSensor_2 MotorDriver_1 SonarSensor_2,Wooden,REDMI,Valid
IMG_20240219_114209.jpg,2,GasSensor_2 SonarSensor_2,Wooden,REDMI,Train
IMG_20240219_114214.jpg,2,GasSensor_1 SonarSensor_3,Wooden,REDMI,Test
IMG_20240219_114241.jpg,2,LDRSensor_3 MLCCapacitor_5,Wooden,REDMI,Train
IMG_20240219_114244.jpg,2,LDRSensor_3 MLCCapacitor_5,Wooden,REDMI,Train
IMG_20240219_114253.jpg,2,LDRSensor_2 MLCCapacitor_1,Wooden,REDMI,Train
IMG_20240219_114614.jpg,4,FilmCapacitor_2 GasSensor_1 MotorDriver_1 SonarSensor_1,Tile,REDMI,Train
IMG_20240219_114818.jpg,3,FilmCapacitor_3 LDRSensor_1 MLCCapacitor_3,Tile,REDMI,Train
IMG_20240219_114822.jpg,3,FilmCapacitor_3 LDRSensor_2 MLCCapacitor_2,Tile,REDMI,Valid
IMG_20240219_114918.jpg,4,FilmCapacitor_1 GasSensor_1 LDRSensor_2 MLCCapacitor_4,Tile,REDMI,Valid
IMG_20240219_115004.jpg,5,FilmCapacitor_1 GasSensor_1 LDRSensor_2 MLCCapacitor_4 SonarSensor_1,Tile,REDMI,Valid
IMG_20240219_115215.jpg,6,FilmCapacitor_3 GasSensor_2 LDRSensor_3 MLCCapacitor_5 MotorDriver_1 SonarSensor_2,Black,REDMI,Train
IMG_20240219_115220.jpg,6,FilmCapacitor_3 GasSensor_2 LDRSensor_3 MLCCapacitor_5 MotorDriver_1 SonarSensor_2,Black,REDMI,Train
IMG_20240219_115224.jpg,6,FilmCapacitor_3 GasSensor_2 LDRSensor_3 MLCCapacitor_5 MotorDriver_1 SonarSensor_2,Black,REDMI,Test
IMG_20240219_115257.jpg,6,FilmCapacitor_3 GasSensor_2 LDRSensor_3 MLCCapacitor_5 MotorDriver_1 SonarSensor_2,Black,REDMI,Train
IMG_20240219_115336.jpg,4,FilmCapacitor_2 LDRSensor_3 MLCCapacitor_4 SonarSensor_2,Black,REDMI,Train
IMG_20240219_115347.jpg,4,FilmCapacitor_2 LDRSensor_3 MLCCapacitor_4 SonarSensor_2,Black,REDMI,Train
IMG_20240219_115438.jpg,2,LDRSensor_2 MLCCapacitor_4,Black,REDMI,Train
IMG_20240219_115455.jpg,6,FilmCapacitor_3 GasSensor_2 LDRSensor_1 MLCCapacitor_1 MotorDriver_1 SonarSensor_2,Black,REDMI,Train
IMG_20240219_115933.jpg,6,FilmCapacitor_1 GasSensor_2 LDRSensor_1 MLCCapacitor_3 MotorDriver_1 SonarSensor_1,Wooden,REDMI,Train
IMG_20240219_120158.jpg,2,GasSensor_2 SonarSensor_2,Wooden,REDMI,Train
IMG_20240219_120248.jpg,1,MLCCapacitor_2,Wooden,REDMI,Train
IMG_20240219_120254.jpg,1,MLCCapacitor_2,Wooden,REDMI,Train
IMG_20240219_120311.jpg,2,LDRSensor_2 MLCCapacitor_1,Wooden,REDMI,Valid
IMG_20240219_113631.jpg,6,FilmCapacitor_2 GasSensor_1 LDRSensor_1 MLCCapacitor_4 MotorDriver_1 SonarSensor_2,Wooden,REDMI,Train
IMG_20240219_113711.jpg,6,FilmCapacitor_2 GasSensor_1 LDRSensor_1 MLCCapacitor_4 MotorDriver_1 SonarSensor_2,Wooden,REDMI,Test
IMG_20240219_113715.jpg,6,FilmCapacitor_2 GasSensor_1 LDRSensor_1 MLCCapacitor_3 MotorDriver_1 SonarSensor_2,Wooden,REDMI,Train
IMG_20240219_113730.jpg,3,MLCCapacitor_1 MotorDriver_1 SonarSensor_2,Wooden,REDMI,Test
IMG_20240219_113808.jpg,4,LDRSensor_3 MLCCapacitor_3 MotorDriver_1 SonarSensor_2,Wooden,REDMI,Train
IMG_20240219_113837.jpg,3,MLCCapacitor_1 MotorDriver_1 SonarSensor_2,Wooden,REDMI,Train
IMG_20240219_113922.jpg,5,FilmCapacitor_2 GasSensor_2 LDRSensor_3 MLCCapacitor_5 SonarSensor_1,Wooden,REDMI,Train
IMG_20240219_113931.jpg,5,FilmCapacitor_2 GasSensor_2 LDRSensor_3 MLCCapacitor_3 SonarSensor_1,Wooden,REDMI,Valid
IMG_20240219_114005.jpg,6,FilmCapacitor_1 GasSensor_2 LDRSensor_3 MLCCapacitor_5 MotorDriver_1 SonarSensor_1,Wooden,REDMI,Train
IMG_20240219_114140.jpg,4,FilmCapacitor_1 GasSensor_2 MotorDriver_1 SonarSensor_2,Wooden,REDMI,Train
IMG_20240219_114442.jpg,5,FilmCapacitor_1 GasSensor_1 LDRSensor_2 MLCCapacitor_4 SonarSensor_1,Wooden,REDMI,Train
IMG_20240219_114447.jpg,5,FilmCapacitor_1 GasSensor_1 LDRSensor_2 MLCCapacitor_4 MotorDriver_1,Wooden,REDMI,Train
IMG_20240219_114451.jpg,5,FilmCapacitor_1 LDRSensor_2 MLCCapacitor_4 MotorDriver_1 SonarSensor_1,Wooden,REDMI,Train
IMG_20240219_114643.jpg,4,FilmCapacitor_2 GasSensor_1 MotorDriver_1 SonarSensor_1,Tile,REDMI,Train
IMG_20240219_114646.jpg,4,FilmCapacitor_2 GasSensor_1 MotorDriver_1 SonarSensor_1,Tile,REDMI,Train
IMG_20240219_114652.jpg,4,FilmCapacitor_2 GasSensor_1 MotorDriver_1 SonarSensor_1,Tile,REDMI,Train
IMG_20240219_114741.jpg,5,FilmCapacitor_2 GasSensor_1 LDRSensor_1 MLCCapacitor_2 SonarSensor_1,Tile,REDMI,Valid
IMG_20240219_114745.jpg,5,FilmCapacitor_2 GasSensor_1 LDRSensor_1 MLCCapacitor_2 SonarSensor_1,Tile,REDMI,Train
IMG_20240219_114814.jpg,3,FilmCapacitor_3 LDRSensor_1 MLCCapacitor_3,Tile,REDMI,Valid
IMG_20240219_114826.jpg,3,FilmCapacitor_3 LDRSensor_1 MLCCapacitor_3,Tile,REDMI,Train
IMG_20240219_114906.jpg,4,FilmCapacitor_1 GasSensor_1 LDRSensor_2 MLCCapacitor_4,Tile,REDMI,Train
IMG_20240219_114911.jpg,4,FilmCapacitor_1 GasSensor_1 LDRSensor_2 MLCCapacitor_4,Tile,REDMI,Train
IMG_20240219_114958.jpg,5,FilmCapacitor_1 GasSensor_1 LDRSensor_2 MLCCapacitor_4 SonarSensor_1,Tile,REDMI,Train
IMG_20240219_115010.jpg,5,FilmCapacitor_1 GasSensor_1 LDRSensor_2 MLCCapacitor_4 SonarSensor_1,Tile,REDMI,Valid
IMG_20240219_115342.jpg,4,FilmCapacitor_2 LDRSensor_3 MLCCapacitor_4 SonarSensor_2,Black,REDMI,Test
IMG_20240219_115433.jpg,2,LDRSensor_2 MLCCapacitor_4,Black,REDMI,Train
