epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,321.859,1.33613,4.66758,1.26736,0.01973,0.13247,0.01972,0.01391,1.13844,4.50719,1.14636,5.07814e-05,5.07814e-05,5.07814e-05
2,643.881,1.25985,3.99076,1.22925,0.02397,0.64971,0.09303,0.06199,1.16637,4.07071,1.24069,0.000100093,0.000100093,0.000100093
3,951.883,1.31277,3.41049,1.28924,0.37341,0.26643,0.19914,0.13931,1.21328,3.67963,1.3367,0.000147371,0.000147371,0.000147371
4,1261.08,1.30265,2.89553,1.30556,0.47401,0.29215,0.32888,0.22637,1.22804,3.29959,1.35663,0.000144852,0.000144852,0.000144852
5,1577.39,1.27919,2.4845,1.30287,0.72485,0.31609,0.43479,0.29229,1.23012,2.93719,1.39077,0.000141803,0.000141803,0.000141803
6,1888.43,1.25966,2.20419,1.28896,0.51359,0.4519,0.51438,0.34043,1.26389,2.62913,1.43394,0.000138754,0.000138754,0.000138754
7,2195.53,1.24106,1.98222,1.26773,0.49662,0.543,0.55731,0.3726,1.23556,2.4956,1.41602,0.000135705,0.000135705,0.000135705
8,2503.4,1.21925,1.81145,1.24778,0.52722,0.59874,0.60382,0.39931,1.25204,2.29738,1.44243,0.000132656,0.000132656,0.000132656
9,2813.9,1.2147,1.6983,1.25706,0.5599,0.64307,0.64774,0.42021,1.24358,2.16438,1.42654,0.000129606,0.000129606,0.000129606
10,3129.06,1.19524,1.60006,1.24191,0.5896,0.64515,0.67277,0.43832,1.22961,2.03516,1.41961,0.000126557,0.000126557,0.000126557
11,3438.1,1.18857,1.53176,1.24255,0.62345,0.68894,0.69783,0.45961,1.23319,1.90308,1.42493,0.000123508,0.000123508,0.000123508
12,3746.07,1.185,1.4892,1.24171,0.65467,0.7042,0.71099,0.46518,1.25403,1.89517,1.41348,0.000120459,0.000120459,0.000120459
13,4054.99,1.17447,1.41462,1.22089,0.70233,0.69983,0.74557,0.48731,1.21596,1.76819,1.41114,0.00011741,0.00011741,0.00011741
14,4364.14,1.16403,1.38063,1.21763,0.70167,0.72242,0.7575,0.49356,1.21862,1.68158,1.41223,0.00011436,0.00011436,0.00011436
15,4674.34,1.16785,1.33082,1.22243,0.70889,0.75045,0.76678,0.50092,1.21359,1.67512,1.4039,0.000111311,0.000111311,0.000111311
16,4984.58,1.14703,1.29335,1.20258,0.734,0.74848,0.78361,0.51168,1.22047,1.61358,1.40443,0.000108262,0.000108262,0.000108262
17,5294.69,1.14101,1.27555,1.21563,0.72987,0.73864,0.78482,0.51242,1.21591,1.57876,1.41199,0.000105213,0.000105213,0.000105213
18,5603.97,1.14027,1.25177,1.20328,0.72707,0.78874,0.79344,0.51664,1.23843,1.54051,1.41177,0.000102164,0.000102164,0.000102164
19,5914.39,1.12184,1.20589,1.18867,0.7352,0.75867,0.79539,0.51754,1.24879,1.5351,1.41898,9.91144e-05,9.91144e-05,9.91144e-05
20,6223.84,1.12799,1.19886,1.19994,0.74535,0.81202,0.80642,0.52049,1.27138,1.49251,1.44015,9.60652e-05,9.60652e-05,9.60652e-05
21,6532.04,1.10726,1.17246,1.18077,0.74831,0.82502,0.8216,0.53621,1.2191,1.47612,1.39942,9.3016e-05,9.3016e-05,9.3016e-05
22,6841.59,1.11603,1.17472,1.18787,0.76504,0.78678,0.81384,0.5287,1.21122,1.48044,1.39833,8.99668e-05,8.99668e-05,8.99668e-05
23,7149.15,1.11017,1.16818,1.18642,0.7933,0.80845,0.82861,0.53963,1.22965,1.41269,1.41493,8.69176e-05,8.69176e-05,8.69176e-05
24,7458.87,1.10755,1.12214,1.18339,0.75496,0.81238,0.82977,0.53712,1.21441,1.42846,1.40821,8.38684e-05,8.38684e-05,8.38684e-05
25,7769.3,1.10444,1.1384,1.18229,0.79505,0.82617,0.83998,0.54471,1.25307,1.36841,1.42536,8.08192e-05,8.08192e-05,8.08192e-05
26,8081.71,1.09457,1.09205,1.16852,0.78738,0.82091,0.84634,0.55176,1.23351,1.36294,1.41277,7.777e-05,7.777e-05,7.777e-05
27,8390.34,1.09219,1.09947,1.17345,0.83235,0.81547,0.86831,0.5616,1.2359,1.33649,1.41117,7.47208e-05,7.47208e-05,7.47208e-05
28,8700.33,1.07846,1.08302,1.16765,0.77693,0.83416,0.85215,0.55383,1.22944,1.39029,1.41036,7.16716e-05,7.16716e-05,7.16716e-05
29,9008.61,1.08016,1.07443,1.17786,0.82391,0.82989,0.85265,0.55625,1.22991,1.31832,1.41128,6.86224e-05,6.86224e-05,6.86224e-05
30,9316.98,1.07712,1.05949,1.17266,0.80581,0.82474,0.86213,0.55865,1.2363,1.32349,1.41702,6.55732e-05,6.55732e-05,6.55732e-05
31,9625.59,1.07449,1.06053,1.1629,0.81842,0.82935,0.85716,0.55754,1.24057,1.29756,1.41052,6.2524e-05,6.2524e-05,6.2524e-05
32,9936.36,1.0681,1.04561,1.16406,0.80989,0.84647,0.87524,0.56838,1.22676,1.27545,1.40237,5.94748e-05,5.94748e-05,5.94748e-05
33,10249,1.07407,1.0398,1.16984,0.8136,0.8277,0.87259,0.56389,1.24196,1.26325,1.41589,5.64256e-05,5.64256e-05,5.64256e-05
34,10556.6,1.06919,1.04263,1.16561,0.85653,0.83659,0.88645,0.56738,1.24612,1.26108,1.41477,5.33764e-05,5.33764e-05,5.33764e-05
35,10864.2,1.06523,1.02018,1.15868,0.83112,0.84491,0.86529,0.55645,1.24323,1.25569,1.41429,5.03272e-05,5.03272e-05,5.03272e-05
36,11172.3,1.06302,1.00787,1.1515,0.83745,0.82098,0.86307,0.55508,1.23379,1.28045,1.41304,4.7278e-05,4.7278e-05,4.7278e-05
37,11481.6,1.05568,1.00115,1.15386,0.82161,0.8441,0.87304,0.55904,1.26048,1.25144,1.42657,4.42288e-05,4.42288e-05,4.42288e-05
38,11790.8,1.04816,1.0114,1.15207,0.82291,0.8451,0.88149,0.56585,1.23333,1.24548,1.40976,4.11796e-05,4.11796e-05,4.11796e-05
39,12100,1.05418,0.99003,1.15763,0.82743,0.84129,0.88627,0.56607,1.22926,1.23519,1.41192,3.81304e-05,3.81304e-05,3.81304e-05
40,12408.8,1.04034,0.98512,1.14561,0.84361,0.84883,0.88306,0.56735,1.23945,1.22888,1.41294,3.50812e-05,3.50812e-05,3.50812e-05
41,12712.6,0.97763,0.89898,1.15541,0.84767,0.83178,0.87967,0.56227,1.23991,1.24688,1.41417,3.2032e-05,3.2032e-05,3.2032e-05
42,13015.7,0.96103,0.88312,1.15245,0.84152,0.84211,0.88601,0.56571,1.2462,1.24144,1.41376,2.89828e-05,2.89828e-05,2.89828e-05
43,13319.3,0.95251,0.87041,1.15063,0.83854,0.85113,0.88988,0.57193,1.24947,1.23145,1.41352,2.59336e-05,2.59336e-05,2.59336e-05
44,13622.2,0.95174,0.86672,1.14989,0.83127,0.83923,0.88808,0.57079,1.24079,1.22341,1.41718,2.28844e-05,2.28844e-05,2.28844e-05
45,13925.2,0.94132,0.843,1.13743,0.84351,0.83812,0.88588,0.56935,1.24232,1.20495,1.41774,1.98352e-05,1.98352e-05,1.98352e-05
46,14228.6,0.94258,0.8413,1.14784,0.84556,0.84635,0.88699,0.57015,1.25444,1.20513,1.42095,1.6786e-05,1.6786e-05,1.6786e-05
47,14530.3,0.93768,0.83512,1.13936,0.84194,0.84027,0.88891,0.57337,1.24951,1.20655,1.42209,1.37368e-05,1.37368e-05,1.37368e-05
48,14834.1,0.93517,0.83561,1.13993,0.83893,0.85069,0.89006,0.57135,1.24929,1.20134,1.41954,1.06876e-05,1.06876e-05,1.06876e-05
49,15135.9,0.9321,0.83632,1.13008,0.84307,0.84752,0.88936,0.57273,1.24959,1.19368,1.42123,7.6384e-06,7.6384e-06,7.6384e-06
50,15438.9,0.93153,0.82735,1.14411,0.84648,0.84632,0.89309,0.57394,1.25218,1.19028,1.42206,4.5892e-06,4.5892e-06,4.5892e-06
